Outlet_Type,Item_Type,Total_Sales
"Grocery Store","Fruits and Vegetables",21423.41453933716
"Grocery Store","Snack Foods",21327.84019088745
"Grocery Store",Household,18082.109340667725
"Grocery Store","Frozen Foods",13750.440975189209
"Grocery Store",Dairy,13539.339763641357
"Grocery Store","Baking Goods",10747.23579788208
"Grocery Store",Canned,10079.898975372314
"Grocery Store",Meat,9081.048809051514
"Grocery Store","Health and Hygiene",8964.023403167725
"Grocery Store","Soft Drinks",7673.368789672852
"Grocery Store",Breads,4832.944786071777
"Grocery Store",Others,3467.265193939209
"Grocery Store","Hard Drinks",2812.544406890869
"Grocery Store",Breakfast,2793.5127868652344
"Grocery Store","Starchy Foods",1925.9987983703613
"Grocery Store",Seafood,1438.162197113037
"Supermarket Type1","Fruits and Vegetables",117431.98802566528
"Supermarket Type1","Snack Foods",114296.13221740723
"Supermarket Type1",Household,89143.40920639038
"Supermarket Type1","Frozen Foods",79348.37704086304
"Supermarket Type1",Dairy,67179.69385147095
"Supermarket Type1",Canned,59649.3092918396
"Supermarket Type1","Baking Goods",53665.4614906311
"Supermarket Type1","Health and Hygiene",44050.74662017822
"Supermarket Type1","Soft Drinks",39002.05295372009
"Supermarket Type1",Meat,36169.7585067749
"Supermarket Type1",Breads,22490.808322906494
"Supermarket Type1","Hard Drinks",19610.75659942627
"Supermarket Type1","Starchy Foods",15370.553573608398
"Supermarket Type1",Others,14826.67387008667
"Supermarket Type1",Breakfast,9632.646724700928
"Supermarket Type1",Seafood,5681.524192810059
"Supermarket Type2","Snack Foods",20003.242443084717
"Supermarket Type2","Fruits and Vegetables",18967.291763305664
"Supermarket Type2",Household,14244.648517608643
"Supermarket Type2","Frozen Foods",13253.717388153076
"Supermarket Type2",Canned,10852.470947265625
"Supermarket Type2",Dairy,10638.944583892822
"Supermarket Type2","Baking Goods",8594.20138168335
"Supermarket Type2","Health and Hygiene",7339.9238204956055
"Supermarket Type2",Meat,6365.935020446777
"Supermarket Type2","Soft Drinks",6289.6337890625
"Supermarket Type2","Hard Drinks",3609.1193656921387
"Supermarket Type2",Breads,3539.4032096862793
"Supermarket Type2","Starchy Foods",2580.3776245117188
"Supermarket Type2",Others,2556.266830444336
"Supermarket Type2",Breakfast,1552.6139869689941
"Supermarket Type2",Seafood,1089.9855918884277
"Supermarket Type3","Fruits and Vegetables",20301.38659286499
"Supermarket Type3","Snack Foods",19806.707580566406
"Supermarket Type3",Household,14506.358142852783
"Supermarket Type3","Frozen Foods",12206.345973968506
"Supermarket Type3",Canned,10125.049606323242
"Supermarket Type3",Dairy,9918.483154296875
"Supermarket Type3","Baking Goods",8887.837814331055
"Supermarket Type3",Meat,7833.121410369873
"Supermarket Type3","Health and Hygiene",7671.145038604736
"Supermarket Type3","Soft Drinks",5549.111362457275
"Supermarket Type3",Breads,4515.963390350342
"Supermarket Type3","Hard Drinks",3302.260208129883
"Supermarket Type3","Starchy Foods",2003.0974044799805
"Supermarket Type3",Breakfast,1617.9229927062988
"Supermarket Type3",Others,1601.6857948303223
"Supermarket Type3",Seafood,868.1979866027832
